digit,pncc_1,pncc_2,pncc_3,pncc_4,pncc_5,pncc_6,pncc_7,pncc_8,pncc_9,pncc_10,pncc_11,pncc_12,pncc_13,pncc_delta_1,pncc_delta_2,pncc_delta_3,pncc_delta_4,pncc_delta_5,pncc_delta_6,pncc_delta_7,pncc_delta_8,pncc_delta_9,pncc_delta_10,pncc_delta_11,pncc_delta_12,pncc_delta_13,pncc_delta2_1,pncc_delta2_2,pncc_delta2_3,pncc_delta2_4
0,-3.7231762917144806e-07,3.489300226533487e-08,-8.586180655356657e-08,-5.062382868459281e-08,2.2275033373375663e-08,2.75417733064387e-08,-2.610214089315832e-08,-9.013157331594357e-09,-6.139719399556043e-09,1.9896283731668518e-08,-3.4926492809006504e-09,-2.3124629322524015e-08,-1.0323704557890778e-08,-0.04485376179218292,0.009533739648759365,-0.005119430832564831,0.015552790835499763,0.010438702069222927,0.010820009745657444,0.010469074361026287,-0.0024378288071602583,-0.011861187405884266,0.010838033631443977,-0.0006748822052031755,-0.004009046126157045,-0.00272857747040689,-0.011370569467544556,0.004173187538981438,-0.006812484003603458,0.006717076059430838
1,-6.333104352052032e-08,2.4948434429461486e-08,-5.799434532605119e-08,1.2963353057671156e-08,-1.73087921773174e-09,-6.932895924016691e-10,2.0567181291397674e-09,3.22465822932827e-08,-2.1130793115275992e-08,5.9904916582809165e-09,1.000554039620738e-08,6.281017039810877e-09,1.08882813876221e-08,-0.04468512162566185,-0.02352454699575901,0.017177799716591835,0.02537640929222107,0.008816316723823547,0.004048531409353018,-0.009320205077528954,0.004296868108212948,-0.008859152905642986,0.01756947860121727,0.007309342734515667,-0.030568649992346764,-0.0012762494152411819,-0.010713895782828331,-0.006890325807034969,0.010129624977707863,0.010073810815811157
2,2.454493142067804e-07,1.1915110675886353e-08,4.920543528186272e-09,5.790928181426125e-09,7.0874248692121e-09,1.5673483344524897e-10,8.334654744146519e-09,-2.688697264829898e-08,-2.4829067690745887e-09,-9.34884258896318e-09,9.10845798784976e-09,-9.235418652053795e-09,-2.457384074006086e-09,-0.04686330631375313,0.03799707442522049,-0.03449123352766037,0.02407878264784813,-0.026962662115693092,0.02028348669409752,-0.02242910861968994,0.0029061699751764536,-0.01144880335777998,-4.384654312161729e-05,-0.002335538389161229,0.01018605474382639,-0.0021907349582761526,-0.001027364400215447,-0.0008848675643093884,-0.0009642666555009782,-0.0010311934165656567
3,2.1523968030123797e-07,-7.394665857418659e-08,2.0216559093455544e-08,4.391924690594351e-08,5.877052089431345e-08,2.3727153575237026e-08,-1.0305830855372733e-08,-8.319046784777129e-09,-1.1864363713698367e-08,-1.123944048941894e-08,-1.9641040793771936e-08,-5.470873087887185e-09,9.032740777570325e-09,-0.039604607969522476,0.004210647661238909,-0.0049398187547922134,0.005668508820235729,0.006675959564745426,-0.0012853035004809499,-0.00829984899610281,0.008142317645251751,-0.005845088977366686,-0.0022378324065357447,0.0009237154154106975,0.004688460845500231,-0.013800353743135929,-0.005231703165918589,-0.0069862110540270805,0.006149006076157093,-0.0016651138430461287
4,-1.5183289292508562e-07,4.080136051243244e-08,9.743058804190241e-09,-2.5228690248013663e-08,2.3607140686721095e-09,1.4965783279308198e-08,1.0532489547188106e-08,-7.286685033136564e-09,8.751442348575722e-10,1.188262732654266e-08,2.483554339960392e-08,4.905551076461734e-09,9.411911250367666e-09,-0.06038130447268486,-0.011765793897211552,0.043926771730184555,0.020778801292181015,-0.03010210022330284,0.007699368055909872,0.013575524091720581,-0.004183458164334297,0.0041496302001178265,-0.0038471168372780085,-0.02021322213113308,0.002913029631599784,0.01969628967344761,-0.01044990960508585,0.002945785177871585,-0.0008644484332762659,0.005328466650098562
5,-6.250714079669706e-08,1.1559615842315907e-07,-9.989482574468411e-10,-3.949806171021919e-08,1.2643980973336966e-08,1.5933425245862054e-08,3.738112042128705e-08,1.3155665445907516e-09,-3.411937399278031e-08,4.068291037384597e-09,4.542682230379569e-09,-6.300619581622868e-09,1.1375901332044691e-09,-0.051954347640275955,0.01810159534215927,0.03360884264111519,0.0044032917357981205,-0.020517779514193535,0.007774696219712496,0.007997986860573292,-0.0006618800107389688,-0.004599200561642647,-0.014548679813742638,0.012316321022808552,0.013845758512616158,-0.007292000111192465,-0.015000357292592525,0.0175981055945158,0.01235540397465229,-0.006449499633163214
6,1.9239318760355673e-07,-4.841399814381475e-08,-4.059002023382163e-09,2.6829903632119567e-08,2.2266739563292504e-08,-7.039425486965456e-09,-2.350038208476235e-08,1.8258868195175637e-08,9.865496863881162e-09,-5.0466302248253214e-09,4.622001892329308e-09,1.150756046008894e-09,6.738275493134438e-10,-0.04066236689686775,0.008663000538945198,-0.022741463035345078,0.019791552796959877,0.00795139279216528,-0.010825441218912601,0.012786933220922947,-0.004024552181363106,0.005463263485580683,0.010893585160374641,-0.008987552486360073,-0.013058199547231197,0.011314165778458118,-0.006512970197945833,0.00635666074231267,-0.00619739294052124,0.006252595689147711
7,1.764485375588265e-07,-1.3103666596236963e-08,-2.2581639669283504e-08,1.889343259620091e-08,-6.00979310760863e-09,-8.785658422993947e-09,-1.505232560816694e-08,1.238282454352202e-08,-1.4148951343884164e-08,5.427323479523238e-09,7.798169221473472e-09,1.1045630188277755e-08,-1.71960934380877e-09,-0.03202563896775246,0.016745323315262794,0.016923855990171432,0.003891455475240946,-0.02354523539543152,0.0020995086524635553,0.001054243533872068,0.003372078062966466,-0.0019731135107576847,0.0016278080875054002,-0.010375218465924263,0.008697057142853737,-0.011076127178966999,-0.004187238868325949,0.0005208806251175702,0.004748423118144274,-0.0016584090190008283
8,-1.4185629026997049e-07,1.5284669530046813e-07,1.4599405018245193e-09,2.703606405418668e-08,3.386187330534085e-08,2.2437014024490054e-08,-1.0751986856405438e-08,-1.3273672827551763e-08,-1.762156198736875e-09,2.4639424722749936e-08,1.3460430547951319e-09,-1.836918706032975e-08,9.927486388505713e-09,-0.048304636031389236,0.02268422208726406,-0.006211523897945881,0.011595036834478378,0.006786898709833622,-0.016529256477952003,0.027666425332427025,0.00677088089287281,-0.001550454180687666,-0.011000462807714939,-0.018189014866948128,-0.01226279977709055,0.024680649861693382,-0.024309657514095306,0.014573808759450912,-0.006844208110123873,0.014788966625928879
9,1.820910853211899e-07,1.0682369833148186e-07,1.188189013845431e-08,-4.1127172778487875e-08,-1.9880330270893865e-08,6.20734708078885e-09,-7.71595676241077e-09,7.039298477451439e-09,1.9448574306579758e-08,-4.566799205463212e-08,-1.4850884078043691e-08,-1.8163142101457197e-08,-9.641702991558532e-10,-0.028363395482301712,-0.005765348672866821,-0.004197783302515745,0.010878313332796097,0.02666785567998886,0.00669667636975646,0.00679160887375474,-0.003553539514541626,0.007028230931609869,0.005169710144400597,-0.0004692314250860363,-0.012280115857720375,0.006503445561975241,-0.007380506489425898,0.004807318560779095,-0.0016794148832559586,0.004347627516835928
