digit,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,logRelF0-H1-A3_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz
0,0.4877459704875946,-11.921133995056152,20.572263717651367,0.023274995386600494,-0.009745847433805466,19.577381134033203,3.8646187782287598,0.39976945519447327,-13.945752143859863,6.179344177246094,1604.49560546875,1117.9622802734375
1,0.4697886109352112,-10.996664047241211,20.714597702026367,0.01993146538734436,-0.01583811640739441,20.539480209350586,-2.817805528640747,-7.120417594909668,-7.126131534576416,6.632216453552246,1563.002197265625,1201.4317626953125
2,0.4119143784046173,-12.260331153869629,19.61833953857422,0.01759096048772335,-0.007457898464053869,18.444286346435547,6.700934886932373,0.6080166101455688,-12.28564739227295,6.0551042556762695,1657.7918701171875,1118.582275390625
3,0.44222256541252136,-10.653538703918457,18.44542121887207,0.023744549602270126,-0.006620069034397602,17.002267837524414,6.461565017700195,3.198197603225708,-16.70845603942871,5.102466106414795,1586.3507080078125,1064.870361328125
4,0.5790402889251709,-13.696681022644043,22.476890563964844,0.02595645561814308,-0.024317536503076553,22.099952697753906,-3.060593366622925,-10.883023262023926,-13.565067291259766,7.123230457305908,1671.6136474609375,1191.714111328125
5,0.5609101057052612,-8.215997695922852,17.605009078979492,0.017143715173006058,-0.011968342587351799,17.17064666748047,-7.306939125061035,-4.429994583129883,-7.215613842010498,2.53374981880188,1454.857177734375,1101.124267578125
6,0.4050406813621521,-9.357427597045898,15.537019729614258,0.02339233085513115,-0.008892050012946129,13.971150398254395,6.476990222930908,-2.253364086151123,-15.591161727905273,0.936352014541626,1573.555419921875,1039.4368896484375
7,0.48026588559150696,-10.35962963104248,18.037452697753906,0.0223834328353405,-0.011595836840569973,17.220979690551758,0.18678702414035797,-1.4529255628585815,-14.266240119934082,1.8799057006835938,1501.859375,1087.6737060546875
8,0.5137993693351746,-9.878808975219727,15.701539993286133,0.024176372215151787,-0.012380974367260933,14.572699546813965,6.943415641784668,-1.845706820487976,-20.01026725769043,2.5485870838165283,1589.628173828125,1042.12841796875
9,0.5162561535835266,-9.09061050415039,18.261837005615234,0.014843418262898922,-0.009248437359929085,17.80696678161621,-2.292646884918213,-0.22944694757461548,-7.092135906219482,5.518001079559326,1520.14013671875,1120.666259765625
